"ං ොනම්කේ  සුසන්ත  ලොල්  යන  අය  වන  අතර  ඔහු  සන්තකකේ  තිබී  භොරයට  ගත්","","","",""
"යතුරුපැදිවල විස්තර පහත පරිදි කේ.","","","",""
"අනු","යතුරුපැදි","වර්ගය","එන්ින් අං ය","චැසි අං ය"
"අං","අං ය","","",""
"ය","","","",""
"01","SG  MP-","TVS","4N51158387","පැහැදිලි නැත"
"","4577","VICTOR","",""
"","","රතුපොට","",""
"","","යතුරුපැදිය","",""
"02","SP 
VI-","CT 100  ලු","පැහැදිලි නැත","MD2DDDUZZSWH28868"
"","3919","පොට යතුරුපැදිය","",""
"03","146-6718","CD – 100","පැහැදිලි නැත","පැහැදිලි නැත"
"","","HERO","",""
"","","HONDA","",""
"","","රතුපොට","",""
"","","යතුරුපැදිය","",""
"04","UP 
TF-","DISCOVER","පැහැදිලි නැත","පැහැදිලි නැත"
"","8349","Y රතුපොට","",""
"","","යතුරුපැදිය","",""
