"සැකකරුව්‍න් අත්ද්‍අඩංගුව්‍ට ගැනීම් සම්බන්ධ්‍ ව්‍ාතතාව්‍ පහත මේ.","","",""
"මත්ද්‍රව්‍ය ව්‍ගතය 
ප්‍රමාණය","","ව්‍ැටලීම්","සැකකරුව්‍න්"
"Kg 
g","mg","ගණන","ගණන"
"මහමරායින්","","",""
"2 
149","309","1116","1115"
"අයිසේ","","",""
"2 
006","305","1137","1136"
"හෑෂේ","","",""
"39","25","23","23"
"ගංජා","","",""
"174 
323","746","961","959"
"ගංජා පැල","","",""
"57951","","25","25"
"මත්ද්‍මපති","","",""
"13,304,838","","45","44"
"සිගරට්","","",""
"79","","05","05"
"මුළු මත්ද්‍රව්‍ය ව්‍ැටලීම් ගණන හා සැකකරුව්‍න්","","3312","3307"
"සංඛ්‍යාව්‍","","",""
