"මත්ද්‍රව්‍ය ව්‍ගතය","ප්‍රමාණය","","ව්‍ැටලීම්","සැකකරුව්‍න්"
"","","","ගණන","ගණන"
"Kg","g","mg","",""
"මහමරායින්","","","",""
"2","303","688","1030","1030"
"අයිසේ","","","",""
"20","849","328","1192","1189"
"හෑෂේ","","","",""
"-","42","170","35","35"
"ගංජා","","","",""
"527","149","229","1057","1058"
"ගංජා පැල","","","",""
"","159818","","32","32"
"මත්ද්‍මපති","","","",""
"","1740","","39","38"
"සිගරට්","","","",""
"","144","","05","05"
"සමසේථ මත්ද්‍රව්‍ය ව්‍ැටලීම්","","","3390","3387"
"හා සැකකරුව්‍න් සංඛ්‍යාව්‍","","","",""
