"ඒ අනුව, 2025.09.12 වන දින සිට 2025.09.18 වන දින ෙක්වො කොලය  තුළ මත්රවය හො","","",""
"සැකකරුවන් අත්අඩංගුවට ෙැනීම් සම්බන්ධ වොර්තොව පහත පේ.","","",""
"මත්ද්‍රව්‍ය ව්‍ර්ගය 
ප්‍රමාණය","","ව්‍ැටලීම්","සැකකරුව්‍න්"
"Kg 
g","mg","ගණන","ගණන"
"මහමරායින්","","",""
"1 
140","691","969","967"
"අයිසේ","","",""
"1 
661","141","1003","1001"
"හෑෂේ","","",""
"8","42","13","13"
"ගංජා","","",""
"277 
418","816","895","893"
"ගංජා පැල","","",""
"36564","","31","31"
"මත්ද්‍මපති","","",""
"1515","","35","35"
"සිගරට්","","",""
"1139","","22","22"
"මුළු මත්ද්‍රව්‍ය ව්‍ැටලීම් ගණන හා සැකකරුව්‍න්","","2968","2962"
"සංඛ්‍යාව්‍","","",""
